,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tigre,40.0,AR,1546365600,66.0,-34.42,-58.58,87.8,11.41
1,albany,90.0,US,1546365420,67.0,42.65,-73.75,39.92,16.11
2,kodiak,90.0,US,1546365300,84.0,39.95,-94.76,17.6,12.75
3,hobart,20.0,AU,1546365600,51.0,-42.88,147.33,59.0,9.17
5,hithadhoo,24.0,MV,1546367049,100.0,-0.6,73.08,82.55,7.74
6,yellowknife,20.0,CA,1546362000,84.0,62.45,-114.38,3.2,12.75
7,castro,75.0,CL,1546365600,71.0,-42.48,-73.76,53.6,9.17
8,rikitea,92.0,PF,1546367053,100.0,-23.12,-134.97,71.3,7.63
10,kapaa,90.0,US,1546365360,90.0,22.08,-159.32,73.04,13.87
11,saskylakh,12.0,RU,1546367055,62.0,71.97,114.09,-3.32,11.54
12,inongo,36.0,CD,1546367057,94.0,-1.93,18.29,76.97,1.25
13,jalu,68.0,LY,1546367058,57.0,29.03,21.55,55.86,9.19
14,yar-sale,36.0,RU,1546367059,88.0,66.83,70.83,2.09,19.93
15,new norfolk,20.0,AU,1546365600,51.0,-42.78,147.06,59.0,9.17
16,lagoa,0.0,PT,1546363800,76.0,37.14,-8.45,57.2,6.93
17,hilo,90.0,US,1546365180,90.0,19.71,-155.08,69.98,3.36
18,mahebourg,75.0,MU,1546365600,94.0,-20.41,57.7,77.0,2.24
19,cockburn town,0.0,TC,1546367065,100.0,21.46,-71.14,78.95,19.6
20,gravdal,20.0,NO,1546365000,65.0,59.79,5.78,42.8,31.09
21,qaanaaq,44.0,GL,1546367068,95.0,77.48,-69.36,-2.69,13.67
22,yantal,8.0,RU,1546367069,49.0,56.85,105.25,-30.59,2.37
23,southbridge,20.0,US,1546365360,62.0,42.08,-72.03,51.98,29.97
24,victoria,75.0,BN,1546365600,94.0,5.28,115.24,77.0,3.36
25,saldanha,0.0,PT,1546367073,92.0,41.42,-6.55,38.45,1.92
27,bagotville,0.0,AU,1546365600,88.0,-28.98,153.42,64.4,3.36
28,cape town,90.0,ZA,1546365600,82.0,-33.93,18.42,68.0,17.22
29,cidreira,0.0,BR,1546367077,71.0,-30.17,-50.22,86.96,13.22
30,barrow,56.0,AR,1546367078,47.0,-38.31,-60.23,86.33,8.75
31,hermanus,80.0,ZA,1546367079,81.0,-34.42,19.24,65.58,5.17
32,punta arenas,40.0,CL,1546365600,43.0,-53.16,-70.91,51.8,26.4
34,pitimbu,40.0,BR,1546365600,62.0,-7.47,-34.81,86.0,14.99
36,ahipara,92.0,NZ,1546367083,100.0,-35.17,173.16,65.18,6.17
37,oranjemund,0.0,ZA,1546367084,92.0,-28.55,16.43,63.38,19.26
39,arraial do cabo,20.0,BR,1546365600,66.0,-22.97,-42.02,95.0,18.34
41,jamestown,0.0,AU,1546367087,72.0,-33.21,138.6,58.2,4.16
42,sile,90.0,US,1546366620,70.0,35.56,-106.37,19.94,23.04
43,talara,0.0,PE,1546365600,290.0,-4.58,-81.27,62.6,13.87
44,atuona,92.0,PF,1546367090,100.0,-9.8,-139.03,78.23,14.67
45,airai,88.0,TL,1546367091,92.0,-8.93,125.41,70.26,1.59
46,ponta do sol,64.0,BR,1546367093,88.0,-20.63,-46,77.42,6.73
47,mount gambier,90.0,AU,1546365600,82.0,-37.83,140.78,60.8,8.05
48,margate,20.0,AU,1546365600,51.0,-43.03,147.26,59.0,9.17
49,kroonstad,44.0,ZA,1546367096,80.0,-27.65,27.24,66.71,6.51
51,aklavik,20.0,CA,1546365600,73.0,68.22,-135.01,26.6,4.7
52,rio gallegos,75.0,AR,1546365600,24.0,-51.62,-69.22,57.2,27.51
53,bredasdorp,92.0,ZA,1546365600,82.0,-34.53,20.04,66.2,12.75
54,hami,24.0,CN,1546367101,45.0,42.84,93.51,-2.1,1.59
55,pisco,0.0,PE,1546365600,30.0,-13.71,-76.2,71.6,12.75
56,nikolskoye,90.0,RU,1546365600,93.0,59.7,30.79,33.8,11.18
58,sohag,0.0,EG,1546362000,47.0,26.55,31.7,59.0,6.93
59,vaini,0.0,IN,1546367106,49.0,15.34,74.49,63.74,6.06
60,teluknaga,75.0,ID,1546365600,83.0,-6.1,106.64,77.0,8.05
61,komyshuvakha,48.0,UA,1546367108,72.0,48.64,37.46,14.6,4.5
62,formosa,75.0,AR,1546365600,63.0,-26.19,-58.17,95.0,8.05
63,mataura,8.0,NZ,1546367111,61.0,-46.19,168.86,68.51,19.71
64,waddan,92.0,LY,1546367112,65.0,29.16,16.14,51.23,17.25
65,butaritari,88.0,KI,1546367113,100.0,3.07,172.79,82.1,19.71
66,te anau,44.0,NZ,1546367052,81.0,-45.41,167.72,59.69,13.0
67,westport,90.0,IE,1546365600,100.0,53.8,-9.52,46.4,4.7
68,bethel,90.0,US,1546365360,92.0,60.79,-161.76,30.92,20.8
69,dikson,68.0,RU,1546367119,100.0,73.51,80.55,14.06,31.12
70,portland,90.0,US,1546365180,92.0,45.52,-122.67,32.0,1.92
71,beringovskiy,36.0,RU,1546367121,100.0,63.05,179.32,-11.15,15.01
72,narsaq,88.0,GL,1546367122,82.0,60.91,-46.05,31.43,14.12
73,tawang,0.0,BT,1546367123,67.0,27.59,91.87,23.28,1.59
74,auki,0.0,NG,1546367125,24.0,12.18,6.51,78.18,9.42
75,shaowu,88.0,CN,1546367126,100.0,27.34,117.49,36.74,1.7
76,palmer,0.0,AU,1546365600,72.0,-34.85,139.16,62.6,4.7
77,pervomayskoye,48.0,RU,1546367128,78.0,57.07,86.23,-0.53,7.85
78,les cayes,0.0,HT,1546367130,96.0,18.19,-73.75,80.84,13.78
79,busselton,0.0,AU,1546367131,100.0,-33.64,115.35,65.76,13.78
80,ballina,90.0,IE,1546365600,100.0,54.11,-9.15,46.4,4.7
81,dingle,76.0,PH,1546367133,91.0,11.0,122.67,76.16,12.66
82,ville-marie,1.0,CA,1546365600,69.0,47.33,-79.44,-7.61,6.93
83,bluff,0.0,AU,1546367136,87.0,-23.58,149.07,67.52,6.96
84,cabo san lucas,90.0,MX,1546365060,55.0,22.89,-109.91,64.4,3.36
85,port alfred,100.0,ZA,1546367138,83.0,-33.59,26.89,70.22,15.46
86,grafenau,92.0,DE,1546367139,96.0,48.86,13.39,36.11,19.6
87,nanortalik,88.0,GL,1546367140,91.0,60.14,-45.24,34.4,34.58
88,thunder bay,40.0,CA,1546365600,58.0,48.41,-89.26,-2.21,8.05
90,carnarvon,0.0,ZA,1546367143,18.0,-30.97,22.13,83.18,15.46
91,jiangyou,48.0,CN,1546367144,96.0,31.78,104.73,26.88,2.26
92,tiksi,36.0,RU,1546367145,76.0,71.64,128.87,2.27,22.28
93,jaisalmer,0.0,IN,1546367146,83.0,26.91,70.91,50.1,4.27
94,rongcheng,56.0,CN,1546367147,93.0,37.16,122.42,28.19,8.63
96,grindavik,75.0,IS,1546365600,100.0,63.84,-22.43,39.2,29.97
97,quatre cocos,75.0,MU,1546365600,94.0,-20.21,57.76,77.0,2.24
98,kahului,40.0,US,1546365360,76.0,20.89,-156.47,75.02,19.46
99,mahibadhoo,88.0,MV,1546367152,100.0,3.78,72.97,83.18,17.47
100,labuhan,92.0,ID,1546367153,99.0,-2.54,115.51,71.25,1.36
101,mar del plata,80.0,AR,1546367155,38.0,-46.43,-67.52,64.01,8.63
102,ushuaia,40.0,AR,1546365600,70.0,-54.81,-68.31,48.2,36.91
103,bulancak,40.0,TR,1546365000,65.0,40.94,38.23,44.6,8.05
104,lebu,0.0,ET,1546365600,44.0,8.96,38.73,59.0,9.17
105,saint george,40.0,GR,1546365000,60.0,39.45,22.34,42.8,1.7
106,bourg-en-bresse,90.0,FR,1546365600,87.0,46.21,5.22,44.6,10.29
107,longyearbyen,40.0,NO,1546361400,65.0,78.22,15.63,3.2,10.29
108,otukpo,8.0,NG,1546367163,21.0,7.19,8.13,86.42,10.54
109,riyadh,0.0,SA,1546365600,67.0,24.63,46.72,62.6,4.7
110,fort-shevchenko,88.0,KZ,1546367165,100.0,44.51,50.26,33.9,11.77
111,saint-pierre,90.0,FR,1546365600,100.0,48.95,4.24,44.6,9.17
112,thompson,75.0,CA,1546362000,68.0,55.74,-97.86,-20.21,4.7
113,bathsheba,40.0,BB,1546365600,61.0,13.22,-59.52,82.4,19.46
114,brae,32.0,GB,1546365000,64.0,60.4,-1.35,39.2,23.04
115,ambovombe,32.0,MG,1546367171,65.0,-25.18,46.09,83.45,17.69
116,gigmoto,92.0,PH,1546367173,100.0,13.78,124.39,76.88,16.02
117,shunyi,0.0,CN,1546365600,51.0,40.13,116.65,12.2,4.47
118,east london,75.0,ZA,1546365600,82.0,-33.02,27.91,68.0,14.99
119,jackson,90.0,US,1546366500,76.0,35.61,-88.82,50.0,11.41
120,matadi,80.0,CD,1546367177,100.0,-5.83,13.46,72.38,4.38
121,chokurdakh,64.0,RU,1546367179,77.0,70.62,147.9,2.27,18.59
122,takoradi,0.0,GH,1546367180,91.0,4.89,-1.75,85.38,8.86
123,upernavik,68.0,GL,1546367181,100.0,72.79,-56.15,14.69,14.23
125,tezu,0.0,IN,1546367182,52.0,27.93,96.16,48.08,2.15
126,oga,0.0,NG,1546367183,41.0,8.18,5.65,80.25,3.27
129,klaksvik,44.0,FO,1546365000,100.0,62.23,-6.59,32.0,3.36
130,ituacu,0.0,BR,1546367186,74.0,-13.81,-41.3,83.09,4.83
131,abapo,8.0,BO,1546367187,45.0,-18.83,-63.47,90.38,3.15
